	Count
hsa-mir-378b	5
hsa-mir-5010-3p	5
hsa-mir-4485-5p	5
hsa-mir-1909-3p	5
hsa-mir-3120-3p	5
hsa-mir-3165	5
hsa-mir-548an	5
hsa-mir-572	5
hsa-mir-3193	5
hsa-mir-4737	5
hsa-mir-762	5
hsa-mir-548f-5p	5
hsa-mir-492	5
hsa-mir-3116	5
hsa-mir-3175	5
hsa-mir-628-3p	5
hsa-mir-188-5p	5
hsa-mir-2116-3p	5
hsa-mir-501-5p	5
hsa-mir-6840-5p	5
hsa-mir-4489	5
hsa-mir-499a-5p	5
hsa-mir-766-3p	5
hsa-let-7g-3p	5
hsa-mir-365b-5p	5
hsa-mir-491-5p	5
hsa-mir-4638-3p	5
hsa-mir-3145-5p	5
hsa-mir-4713-5p	5
hsa-mir-7847-3p	5
hsa-mir-1257	5
hsa-mir-1226-3p	5
hsa-mir-548b-3p	5
hsa-mir-3146	5
hsa-mir-3150a-5p	5
hsa-mir-7108-3p	5
hsa-mir-103a-2-5p	5
hsa-mir-190b-5p	5
hsa-mir-4654	5
hsa-mir-5008-3p	5
hsa-mir-224-3p	5
hsa-mir-548as-5p	5
hsa-mir-2114-5p	5
hsa-mir-6747-3p	5
hsa-mir-410-3p	5
hsa-mir-1915-3p	5
hsa-mir-195-3p	4
hsa-mir-96-3p	4
hsa-mir-1181	4
hsa-mir-4694-3p	4
hsa-mir-6510-3p	4
hsa-mir-548y	4
hsa-mir-219a-1-3p	4
hsa-mir-4470	4
hsa-mir-376c-3p	4
hsa-mir-2467-3p	4
hsa-mir-1199-5p	4
hsa-mir-548a-5p	4
hsa-mir-7845-5p	4
hsa-mir-4700-5p	4
hsa-mir-652-5p	4
hsa-mir-10523-5p	4
hsa-mir-548ak	4
hsa-mir-4653-5p	4
hsa-mir-655-5p	4
hsa-mir-204-5p	4
hsa-mir-579-3p	4
hsa-mir-503-5p	4
hsa-mir-550b-3p	4
hsa-mir-4781-3p	4
hsa-mir-3942-3p	4
hsa-mir-503-3p	4
hsa-mir-4797-3p	4
hsa-mir-3913-5p	4
hsa-mir-1244	4
hsa-mir-3178	4
hsa-mir-6794-3p	4
hsa-mir-4659a-3p	4
hsa-mir-3908	4
hsa-mir-1255b-5p	4
hsa-mir-588	4
hsa-mir-4745-3p	4
hsa-mir-190a-5p	4
hsa-mir-586	4
hsa-mir-4761-3p	3
hsa-mir-3150a-3p	3
hsa-mir-939-3p	3
hsa-mir-4700-3p	3
hsa-mir-548x-3p	3
hsa-mir-3170	3
hsa-mir-3139	3
hsa-mir-5690	3
hsa-mir-548ay-3p	3
