	Count
hsa-mir-3157-5p	14
hsa-mir-3663-3p	14
hsa-mir-9986	14
hsa-mir-483-5p	13
hsa-mir-3135b	13
hsa-mir-642a-3p	13
hsa-mir-378b	13
hsa-mir-411-5p	13
hsa-mir-1291	13
hsa-mir-548z	13
hsa-mir-181c-3p	13
hsa-mir-152-3p	13
hsa-mir-219a-5p	13
hsa-mir-181a-2-3p	13
hsa-mir-455-5p	13
hsa-mir-3065-3p	13
hsa-mir-1247-5p	13
hsa-mir-4511	13
hsa-mir-3942-5p	12
hsa-mir-29a-5p	12
hsa-mir-548o-5p	12
hsa-mir-4652-5p	12
hsa-mir-19a-5p	12
hsa-mir-3130-3p	12
hsa-mir-199a-3p	12
hsa-mir-138-5p	12
hsa-mir-4661-3p	12
hsa-mir-30c-1-3p	12
hsa-mir-1248	12
hsa-mir-3195	12
hsa-mir-10392-5p	12
hsa-mir-4515	12
hsa-mir-183-3p	12
hsa-mir-4492	11
hsa-mir-450b-5p	11
hsa-mir-550a-3-5p	11
hsa-mir-185-5p	11
hsa-mir-548c-5p	11
hsa-mir-10396b-5p	11
hsa-mir-8072	11
hsa-mir-548v	11
hsa-mir-4767	11
hsa-mir-4647	11
hsa-mir-5192	11
hsa-mir-1261	11
hsa-mir-548ar-3p	11
hsa-mir-146a-5p	11
hsa-mir-937-3p	11
hsa-mir-5699-3p	11
hsa-mir-5699-5p	11
hsa-mir-6125	10
hsa-mir-3672	10
hsa-mir-610	10
hsa-mir-5582-3p	10
hsa-mir-132-5p	10
hsa-mir-33a-5p	10
hsa-mir-5093	10
hsa-mir-6850-5p	10
hsa-mir-3622a-3p	10
hsa-mir-182-3p	10
hsa-mir-6501-5p	10
hsa-mir-6850-3p	10
hsa-mir-10396a-5p	10
hsa-mir-3684	10
hsa-mir-181b-3p	10
hsa-mir-628-5p	9
hsa-mir-196a-3p	9
hsa-mir-4430	9
hsa-mir-3155a	9
hsa-mir-9899	9
hsa-mir-12121	9
hsa-mir-3158-5p	9
hsa-mir-3659	9
hsa-mir-664a-3p	9
hsa-mir-2355-3p	9
hsa-mir-654-3p	9
hsa-mir-362-3p	9
hsa-mir-9-3p	9
hsa-mir-6886-5p	9
hsa-mir-1252-5p	9
hsa-mir-3613-3p	9
hsa-mir-3157-3p	9
hsa-mir-8062	9
hsa-mir-548am-5p	9
hsa-mir-618	8
hsa-mir-3652	8
hsa-mir-3133	8
hsa-mir-5683	8
hsa-mir-5047	8
hsa-mir-374b-3p	8
hsa-mir-1306-3p	8
hsa-mir-425-3p	8
hsa-mir-5091	8
hsa-mir-570-3p	8
hsa-mir-653-5p	8
hsa-mir-1262	8
hsa-mir-933	8
hsa-mir-34a-3p	8
hsa-mir-6765-3p	8
hsa-mir-935	8
hsa-mir-548at-5p	8
hsa-mir-6516-3p	8
hsa-mir-548ac	8
hsa-mir-452-3p	8
hsa-mir-4443	8
hsa-mir-580-3p	8
hsa-mir-5000-3p	8
hsa-mir-2355-5p	8
hsa-mir-3688-3p	7
hsa-mir-548aa	7
hsa-mir-1243	7
hsa-mir-199b-3p	7
hsa-mir-548aj-5p	7
hsa-mir-301b-5p	7
hsa-mir-466	7
hsa-mir-4519	7
hsa-mir-1256	7
hsa-mir-4734	7
hsa-mir-3922-3p	7
hsa-mir-7854-3p	7
hsa-mir-4785	7
hsa-mir-5580-5p	7
hsa-mir-4645-3p	7
hsa-let-7f-1-3p	7
hsa-mir-548ab	7
hsa-mir-10396a-3p	7
hsa-mir-1180-5p	7
hsa-mir-3692-5p	7
hsa-mir-3605-5p	7
hsa-mir-29b-1-5p	7
hsa-mir-141-5p	7
hsa-mir-3908	7
hsa-mir-223-3p	7
hsa-mir-675-3p	7
hsa-mir-449b-5p	7
hsa-mir-4508	7
