	Count
hsa-mir-6787-5p	3
hsa-mir-503-3p	3
hsa-mir-6804-5p	3
hsa-mir-130a-5p	3
hsa-mir-10398-3p	3
hsa-mir-892c-3p	3
hsa-mir-6733-3p	3
hsa-mir-3613-3p	3
hsa-mir-1295a	3
hsa-mir-3917	3
hsa-mir-6764-3p	3
hsa-mir-4728-3p	3
hsa-mir-1236-3p	3
hsa-mir-5588-5p	3
hsa-mir-3121-3p	3
hsa-mir-605-5p	3
hsa-mir-6762-3p	3
hsa-mir-548q	3
hsa-mir-5587-5p	3
hsa-mir-1291	3
hsa-mir-6852-5p	3
hsa-mir-1827	3
hsa-mir-3622a-3p	3
hsa-mir-12132	3
hsa-mir-1973	2
hsa-mir-548am-5p	2
hsa-mir-6738-3p	2
hsa-mir-216b-5p	2
hsa-mir-3667-3p	2
hsa-mir-548aq-3p	2
hsa-mir-4638-3p	2
hsa-mir-541-5p	2
hsa-mir-3124-5p	2
hsa-mir-6715a-3p	2
hsa-mir-3180-5p	2
hsa-mir-660-3p	2
hsa-mir-409-5p	2
