SRR19795711_trimmed2.fasta,Count
mmu-mir-6945-3p,5
mmu-mir-7241-5p,5
mmu-mir-677-3p,5
mmu-mir-2136-3p,5
mmu-mir-32-3p,5
mmu-mir-383-5p,5
mmu-mir-6385-5p,5
mmu-let-7f-1-3p,5
mmu-mir-6369-3p,5
mmu-mir-323-3p,5
mmu-mir-7060-3p,5
mmu-mir-219a-1-5p,5
mmu-mir-16-2-3p,5
mmu-mir-670-5p,5
mmu-mir-93-3p,5
mmu-mir-292a-3p,5
mmu-mir-204-3p,5
mmu-mir-6355-5p,5
mmu-mir-6359-5p,5
mmu-mir-350-5p,5
mmu-mir-7688-5p,5
mmu-mir-223-5p,5
mmu-mir-331-5p,5
mmu-mir-6516-5p,5
mmu-mir-6947-5p,5
mmu-mir-511-5p,5
mmu-mir-3091-5p,5
mmu-mir-8091-5p,5
mmu-mir-7654-5p,5
mmu-mir-365-2-5p,5
mmu-mir-758-3p,5
mmu-mir-338-3p,5
mmu-mir-487b-3p,5
mmu-let-7c-1-3p,5
mmu-mir-1298-3p,5
mmu-mir-764-5p,5
mmu-mir-669d-5p,4
mmu-mir-669a-7-5p,4
mmu-mir-669a-6-5p,4
mmu-mir-669a-5-5p,4
mmu-mir-669a-9-5p,4
mmu-mir-669a-8-5p,4
mmu-mir-669a-10-5p,4
mmu-mir-669a-4-5p,4
mmu-mir-669a-12-5p,4
mmu-mir-669p-1-5p,4
mmu-mir-669p-2-5p,4
mmu-mir-669a-11-5p,4
mmu-mir-466h-5p,4
mmu-mir-290a-3p,4
mmu-mir-6374-3p,4
mmu-mir-1195-3p,4
mmu-mir-744-3p,4
mmu-mir-1934-3p,4
mmu-mir-669d-2-5p,4
mmu-mir-8101-5p,4
mmu-mir-3473b-3p,4
mmu-mir-6969-3p,4
mmu-mir-8094-5p,4
mmu-mir-100-3p,4
mmu-mir-7068-5p,4
mmu-mir-6956-3p,4
mmu-mir-3473a-3p,4
mmu-mir-6994-3p,4
mmu-mir-6345-5p,4
mmu-mir-370-5p,4
mmu-let-7f-2-3p,4
mmu-mir-12179-3p,4
mmu-mir-680-2-5p,4
mmu-mir-378b-5p,4
mmu-mir-5122-5p,4
mmu-mir-488-3p,4
mmu-mir-365-1-5p,4
mmu-mir-6906-3p,4
mmu-mir-1929-3p,4
mmu-mir-181b-1-3p,4
mmu-mir-7229-3p,4
mmu-mir-742-3p,4
mmu-mir-6405-5p,4
mmu-mir-219a-1-3p,4
mmu-let-7e-3p,4
mmu-mir-144-5p,4
mmu-mir-547-5p,4
mmu-mir-134-3p,4
mmu-mir-130b-3p,4
mmu-mir-496b-5p,4
mmu-mir-12178-5p,4
mmu-mir-301a-5p,4
mmu-mir-3093-5p,4
mmu-mir-12183-5p,4
mmu-mir-26a-2-3p,4
mmu-mir-5121-5p,4
mmu-mir-1968-5p,4
mmu-mir-6933-5p,4
mmu-mir-6909-5p,4
mmu-mir-8097-5p,4
mmu-mir-6366-5p,4
mmu-mir-206-3p,4
mmu-mir-483-5p,4
mmu-mir-12204-5p,4
mmu-mir-6973a-3p,4
mmu-mir-185-3p,4
mmu-mir-203-5p,4
mmu-mir-7658-5p,4
mmu-mir-217-5p,4
mmu-mir-12199-3p,4
mmu-mir-673-5p,4
mmu-mir-1907-5p,4
mmu-mir-466f-4-5p,3
mmu-mir-297b-3p,3
mmu-mir-466f-3-3p,3
mmu-mir-466e-3p,3
mmu-mir-466c-1-3p,3
mmu-mir-466b-7-3p,3
mmu-mir-466b-2-3p,3
mmu-mir-466p-3p,3
mmu-mir-466b-6-3p,3
mmu-mir-466b-4-3p,3
mmu-mir-466a-3p,3
mmu-mir-466b-1-3p,3
mmu-mir-466c-3-3p,3
mmu-mir-466c-2-3p,3
mmu-mir-466b-8-3p,3
mmu-mir-466b-5-3p,3
mmu-mir-1895-5p,3
mmu-mir-713-5p,3
mmu-mir-450a-1-3p,3
mmu-mir-103-1-5p,3
mmu-mir-183-3p,3
mmu-mir-344c-5p,3
mmu-mir-3074-2-5p,3
mmu-mir-3085-3p,3
mmu-mir-7047-5p,3
mmu-mir-3074-1-5p,3
mmu-mir-6376-5p,3
mmu-mir-483-3p,3
mmu-mir-493-5p,3
mmu-mir-540-5p,3
mmu-mir-6396-5p,3
mmu-mir-1961-3p,3
mmu-mir-1192-3p,3
mmu-mir-696-5p,3
mmu-mir-5133-5p,3
mmu-mir-7083-5p,3
mmu-mir-378d-5p,3
mmu-mir-6352-5p,3
mmu-mir-3064-5p,3
mmu-mir-1943-5p,3
mmu-mir-759-3p,3
mmu-mir-7211-3p,3
mmu-mir-421-5p,3
mmu-mir-673-3p,3
mmu-mir-718-5p,3
mmu-mir-6389-3p,3
mmu-mir-1951-5p,3
mmu-mir-7015-3p,3
mmu-mir-701-5p,3
mmu-mir-6955-5p,3
mmu-mir-3057-3p,3
mmu-mir-215-3p,3
mmu-mir-486b-3p,3
mmu-mir-6546-5p,3
mmu-mir-374b-3p,3
mmu-mir-1952-5p,3
mmu-mir-466g-3p,3
mmu-mir-12190-3p,3
mmu-mir-376a-5p,3
mmu-mir-153-5p,3
mmu-mir-6896-5p,3
mmu-mir-1933-3p,3
mmu-mir-138-2-5p,3
mmu-mir-1946a-3p,3
mmu-mir-1946b-3p,3
mmu-mir-706-3p,3
mmu-mir-6354-3p,3
mmu-mir-6372-3p,3
mmu-mir-511-3p,3
mmu-mir-15a-3p,3
mmu-mir-3075-5p,3
mmu-mir-3081-5p,3
mmu-mir-696-3p,3
mmu-mir-7224-3p,3
mmu-mir-215-5p,3
mmu-mir-1912-5p,3
mmu-mir-6350-5p,3
mmu-mir-3473h-5p,3
mmu-mir-3089-5p,3
mmu-mir-7027-5p,3
mmu-mir-452-5p,3
mmu-mir-1306-3p,3
mmu-mir-6925-5p,3
mmu-mir-193b-5p,3
mmu-mir-669j-3p,3
mmu-mir-652-5p,3
mmu-mir-12179-5p,3
mmu-mir-691-5p,3
mmu-mir-6929-5p,3
mmu-mir-877-5p,3
mmu-mir-6957-5p,3
mmu-mir-186-3p,3
mmu-mir-6337-5p,3
mmu-mir-101b-5p,3
mmu-mir-1946b-5p,3
mmu-mir-6378-5p,3
mmu-mir-219c-3p,3
mmu-mir-133a-2-5p,3
mmu-mir-1953-5p,3
mmu-mir-376a-3p,3
mmu-mir-7070-3p,3
mmu-mir-669f-5p,2
mmu-mir-465d-3p,2
mmu-mir-6339-5p,2
mmu-mir-669c-3p,2
mmu-mir-466p-5p,2
mmu-mir-669n-5p,2
mmu-mir-466f-2-5p,2
mmu-mir-9-2-3p,2
mmu-mir-101c-3p,2
mmu-mir-9-3-3p,2
mmu-mir-8091-3p,2
mmu-mir-297a-3-3p,2
mmu-mir-9-1-3p,2
mmu-mir-466i-3p,2
mmu-mir-719-5p,2
mmu-mir-5107-3p,2
mmu-mir-212-5p,2
mmu-mir-7687-3p,2
mmu-mir-1953-3p,2
mmu-mir-1946a-5p,2
mmu-mir-6539-5p,2
mmu-mir-6414-5p,2
mmu-mir-5104-5p,2
mmu-mir-344-2-3p,2
mmu-mir-344-1-3p,2
mmu-mir-6411-5p,2
mmu-mir-8119-5p,2
mmu-mir-7117-5p,2
mmu-mir-7028-3p,2
mmu-mir-466f-3-5p,2
mmu-mir-466f-1-5p,2
mmu-mir-6907-5p,2
mmu-mir-1954-5p,2
mmu-mir-7011-5p,2
mmu-mir-3473c-5p,2
mmu-mir-466o-5p,2
mmu-mir-466b-3-5p,2
mmu-mir-466b-6-5p,2
mmu-mir-466b-5-5p,2
mmu-mir-466b-1-5p,2
mmu-mir-466b-7-5p,2
mmu-mir-466b-4-5p,2
mmu-mir-6413-3p,2
mmu-mir-7211-5p,2
mmu-mir-669a-12-3p,2
mmu-mir-669a-5-3p,2
mmu-mir-669a-6-3p,2
mmu-mir-669a-10-3p,2
mmu-mir-669a-2-3p,2
mmu-mir-669a-1-3p,2
mmu-mir-669a-9-3p,2
mmu-mir-669a-7-3p,2
mmu-mir-669o-3p,2
mmu-mir-669a-4-3p,2
mmu-mir-6896-3p,2
mmu-mir-669a-8-3p,2
mmu-mir-669a-11-3p,2
mmu-mir-669i-5p,2
mmu-mir-222-5p,2
mmu-mir-6898-3p,2
mmu-mir-5100-5p,2
mmu-mir-290a-5p,2
mmu-mir-703-5p,2
mmu-mir-698-3p,2
mmu-mir-7045-3p,2
mmu-mir-1892-5p,2
