	Count
hsa-mir-6721-5p	21
hsa-mir-6825-3p	21
hsa-mir-106b-5p	21
hsa-mir-181a-3p	21
hsa-mir-6895-5p	21
hsa-mir-10392-5p	21
hsa-mir-1289	21
hsa-mir-4647	21
hsa-mir-3917	20
hsa-mir-6125	20
hsa-mir-6818-5p	20
hsa-mir-584-5p	20
hsa-mir-1246	20
hsa-mir-577	20
hsa-mir-6832-5p	20
hsa-mir-6747-3p	20
hsa-mir-9-5p	19
hsa-mir-107	19
hsa-mir-10396b-5p	19
hsa-mir-200c-3p	19
hsa-mir-4688	19
hsa-mir-6869-5p	19
hsa-mir-6797-3p	19
hsa-mir-4515	19
hsa-mir-3913-5p	18
hsa-mir-4519	18
hsa-mir-6770-5p	18
hsa-mir-19b-3p	18
hsa-mir-429	18
hsa-mir-4508	18
hsa-mir-219a-1-3p	18
hsa-mir-6805-5p	18
hsa-mir-6501-5p	18
hsa-mir-5006-3p	17
hsa-mir-130b-3p	17
hsa-mir-6875-5p	17
hsa-mir-6789-3p	17
hsa-mir-4767	17
hsa-mir-4685-3p	17
hsa-mir-6859-3p	17
hsa-mir-10396a-3p	17
hsa-mir-4734	16
hsa-mir-3652	16
hsa-mir-5695	16
hsa-mir-6873-3p	16
hsa-mir-6882-5p	16
hsa-mir-6510-3p	16
hsa-mir-148b-5p	16
hsa-mir-6805-3p	16
hsa-mir-5100	16
hsa-mir-7111-5p	16
hsa-mir-6515-5p	16
hsa-mir-33b-3p	16
hsa-mir-6787-3p	15
hsa-mir-6821-3p	15
hsa-mir-6858-3p	15
hsa-mir-10396a-5p	15
hsa-mir-4722-5p	15
hsa-mir-192-5p	15
hsa-mir-221-5p	15
hsa-mir-6827-3p	15
hsa-mir-4667-5p	15
hsa-mir-6894-5p	14
hsa-mir-6513-3p	14
hsa-mir-6862-3p	14
hsa-mir-24-3p	14
hsa-mir-7851-3p	14
hsa-mir-6505-5p	14
hsa-mir-143-3p	14
hsa-mir-3181	14
hsa-mir-301a-3p	14
hsa-mir-937-5p	14
hsa-mir-4498	14
hsa-mir-6764-3p	14
hsa-mir-1291	14
hsa-mir-6773-5p	14
hsa-mir-552-3p	14
hsa-mir-10395-3p	14
hsa-mir-4472	14
